time,Base Model,DURS Model
1961.5,0.9392069877746312,0.9392069877746312
1962.0,0.9379945548205175,0.9379945548205175
1962.5,0.9367609797322507,0.9367609797322507
1963.0,0.9355059147724623,0.9355059147724623
1963.5,0.9342290083150906,0.9342290083150906
1964.0,0.9329299047183671,0.9329299047183671
1964.5,0.9316082436703593,0.9316082436703593
1965.0,0.9302636603968051,0.9302636603968051
1965.5,0.9288957857303269,0.9288957857303269
1966.0,0.9275042461503124,0.9275042461503124
1966.5,0.9260886879728286,0.9260886879728286
1967.0,0.9246487869751185,0.9246487869751185
1967.5,0.9231841750285916,0.9231841750285916
1968.0,0.9216944642786488,0.9216944642786488
1968.5,0.9201792566792578,0.9201792566792578
1969.0,0.9186381476550606,0.9186381476550606
1969.5,0.9170676079921406,0.9170684744821932
