time,ET Model,CE & ET Model
1979.5,7.220449391077705,7.214791679515628
1980.0,7.282852547262081,7.276993360587703
1980.5,7.353644319327871,7.347520176353601
1981.0,7.430363781135159,7.42378440557246
1981.5,7.477403710502658,7.470642952969239
1982.0,7.531771010735019,7.524837683647226
1982.5,7.592399894930889,7.5852988077867485
1983.0,7.656283606281081,7.6490587032606845
1983.5,7.724379892282786,7.71698248398778
1984.0,7.796486825136614,7.78890804171718
1984.5,7.872383294773247,7.864612005062227
1985.0,7.952107613127407,7.944129857228531
1985.5,8.041175564174177,8.032850378156269
1986.0,8.134630738763505,8.126088869110337
1986.5,8.23094569017859,8.222191819850691
1987.0,8.329876070044058,8.320912602974245
1987.5,8.431343380835765,8.422171035589686
1988.0,8.552111501330975,8.542992299701407
1988.5,8.695845288851073,8.68647766926865
1989.0,8.842941734417307,8.83331572911612
1989.5,8.994981631675419,8.985045202282157
1990.0,9.150399229108759,9.140194246377025
1990.5,9.308170316904809,9.297696550842236
1991.0,9.467889545029,9.457145846623474
1991.5,9.629176995136355,9.618161477422564
1992.0,9.791669770870124,9.78037963647553
1992.5,9.955026723149077,9.943458205195899
1993.0,10.118923530541444,10.107071884433724
1993.5,10.283046421725652,10.270905931629267
1994.0,10.447087216328732,10.43465121290934
1994.5,10.610739766061625,10.59800065330668
1995.0,10.77369782056781,10.760647112183804
1995.5,10.93565393471046,10.922282278734654
1996.0,11.096368866295633,11.082665573068367
1996.5,11.255615829325682,11.24156930837555
1997.0,11.413172587868836,11.398770455122493
1997.5,11.56882401337234,11.554053139952005
1998.0,11.722365468842808,11.707212028367888
1998.5,11.87364153985038,11.858090395472528
1999.0,12.022561357391485,12.006596631897732
1999.5,12.169059206412634,12.152664367863373
2000.0,12.313094573606266,12.296252468222884
2000.5,12.454655413909375,12.437348290461472
2001.0,12.593759031813645,12.575968390827827
2001.5,12.730535826133437,12.71224009276192
2002.0,12.86518962296777,12.846366300318074
2002.5,12.998042020997058,12.978668112506234
2003.0,13.129872043770982,13.109892840800308
2003.5,13.260993837270188,13.240426492745208
2004.0,13.391021407872127,13.36984885421473
2004.5,13.520147829617525,13.498352382637915
2005.0,13.648592721834477,13.626155838189128
2005.5,13.776664643103054,13.753573191005941
2006.0,13.905811271540319,13.882040639088808
2006.5,14.035895397266751,14.011423147837862
2007.0,14.166872690320792,14.141675891643645
2007.5,14.29880891871008,14.272863551341555
2008.0,14.43183045669352,14.405111101166296
2008.5,14.56609781242979,14.538577463744543
2009.0,14.701791219017174,14.67344118151411
2009.5,14.839101496704762,14.809891338458058
2010.0,14.978222820130588,14.94812037885184
2010.5,15.119345628483739,15.088317068968419
2011.0,15.262745100024134,15.230747808798878
2011.5,15.40900445950307,15.375993719567454
2012.0,15.55868687717832,15.5246150583669
2012.5,15.712167081448175,15.676985298780153
2013.0,15.869795133490767,15.833453420443666
2013.5,16.031732028841912,15.994183026982384
2014.0,16.198060971797823,16.15925702695972
2014.5,16.36879450606475,16.32868706864906
2015.0,16.54378227371005,16.502323459159317
2015.5,16.722906558614934,16.680048556699916
2016.0,16.906501168984743,16.86218502533213
2016.5,17.0949812836787,17.049146772960203
2017.0,17.28872545384874,17.24131169155041
2017.5,17.48806537782305,17.43901097424512
2018.0,17.69328330793785,17.6425265091234
2018.5,17.904611947080408,17.85209073372476
