time,DURS Model,CE Model,ET Model,CE & ET Model
1934.5,0.981245496002588,0.9813501538589846,0.9836718262928688,0.9837693221356193
1935.0,0.9807757994535414,0.9808845221064009,0.9832956115968303,0.9833964829625962
1935.5,0.9802977092695997,0.9804105919503362,0.982913010656355,0.9830173187707408
1936.0,0.9798110662806484,0.9799282068516478,0.9825238991250942,0.9826317066582242
1936.5,0.9793157083325945,0.9794372073709159,0.9821281502618604,0.9822395213667047
1937.0,0.9788114702361737,0.9789374311200119,0.9817256349223484,0.9818406352742088
1937.5,0.9782981837150491,0.9784287127130213,0.9813162215623769,0.9814349183995636
1938.0,0.9777756773532016,0.9779108837165483,0.9808997762097782,0.9810222383755214
1938.5,0.9772437765416189,0.9773837725994168,0.9804761624347962,0.980602460724903
1939.0,0.9767023034242861,0.9768472046817848,0.9800452413189243,0.9801754492807786
1939.5,0.9761510768434837,0.976301002083682,0.9796068714220705,0.9797410657542039
1940.0,0.9755899122843987,0.9757449836729823,0.9791609087480283,0.9792991750639596
1940.5,0.9750186218190566,0.9751789650128226,0.9787072067082789,0.9788496328234487
1941.0,0.9744370143023113,0.9746027585602535,0.9782456160841966,0.9783922922457456
1941.5,0.973844895742637,0.9740161740423087,0.9777759826932032,0.977927001681059
1942.0,0.9732421224820097,0.9734190716395822,0.9772981857233627,0.9774536429449028
1942.5,0.9726285341857063,0.9728112949796193,0.9768120942934004,0.9769720878734984
1943.0,0.9720039610162623,0.9721926783150815,0.9763175630493857,0.9764821945312456
1943.5,0.9713682266693793,0.9715630495639874,0.9758144497972133,0.9759838236343243
1944.0,0.9707211496864878,0.9709222316266315,0.9753026078865004,0.9754768314869806
1944.5,0.9700625440457724,0.9702700429810038,0.9747818880385539,0.9749610718645723
1945.0,0.9693922194456838,0.9696062979702286,0.9742521382339918,0.9744363959022614
1945.5,0.9687099814521506,0.9689308069543416,0.973713203658711,0.9739026520430373
1946.0,0.9680156315809054,0.9682433763974475,0.9731649266671603,0.9733596860034031
1946.5,0.9673089673454113,0.9675438089206296,0.9726071470834202,0.972807340205924
1947.0,0.9665897822840596,0.9668319033343149,0.9720397021289771,0.9722454554116575
1947.5,0.9658578659733018,0.9661074546567744,0.9714624257268277,0.9716738691873075
1948.0,0.9651130040303749,0.9653702541224308,0.9708751490604657,0.9710924164699831
1948.5,0.9643549781079117,0.9646200891822694,0.9702777009712157,0.9705009302369957
1949.0,0.9635835658820402,0.9638567434979614,0.9696699074401162,0.9698992406193007
1949.5,0.9627985410351818,0.9630799969309135,0.9690515913639488,0.9692871746014171
1950.0,0.9619996732345099,0.9622896255272075,0.9684225724600055,0.9686645561207492
1950.5,0.9611867281068421,0.9614854014992084,0.9677826673614079,0.9680312061651282
1951.0,0.9603594672106068,0.9606670932044834,0.9671316894104557,0.967386942569738
1951.5,0.9595176480054107,0.9598344651225682,0.9664694486298309,0.9667315799922147
1952.0,0.9586610238196501,0.9589872778300232,0.9657957516936791,0.9660649298878257
1952.5,0.9577893438165331,0.9581252879741572,0.9651105196096792,0.9653869167699762
1953.0,0.9569023529588253,0.957248248245737,0.9644138860587799,0.964697679362881
1953.5,0.9559997919725824,0.956355907350951,0.9637059800642525,0.9639973519133976
1954.0,0.9550813973100937,0.9554480099828642,0.9629869222584085,0.9632860604617818
1954.5,0.9541469011122301,0.954524296792559,0.9622568229442452,0.9625639209151932
1955.0,0.9531960312110062,0.9535845044017983,0.9615157708060816,0.9618310277737978
1955.5,0.9522285018700258,0.9526283561568687,0.9607638121290173,0.9610874333410461
1956.0,0.9512440166753937,0.9516555650141209,0.9600009544740314,0.9603331514041312
1956.5,0.9502422741283664,0.9506658391371458,0.9592271622053039,0.9595681528033606
1957.0,0.9492229692230559,0.9496588823938927,0.9584423531307235,0.9587923613459495
1957.5,0.9481857937959828,0.9486343960608367,0.9576463965531454,0.9580056526592698
1958.0,0.947130436517163,0.9475920786833865,0.9568391128474739,0.9572078538524753
1958.5,0.9460565827890273,0.9465316259248937,0.956020274590126,0.9563987443068033
1959.0,0.9449639146322102,0.9454527304366409,0.9551896091798401,0.9555780584384396
1959.5,0.9438521105801396,0.94435508175119,0.9543468028077039,0.9547454896312209
1960.0,0.9427208455873857,0.9432383661958993,0.9534915055651024,0.9539006953461365
1960.5,0.9415697909519383,0.942102266823378,0.9526233374250311,0.9530433031050466
1961.0,0.9403986142503956,0.9409464633564385,0.9517418947974166,0.9521729170502181
1961.5,0.9392069792848845,0.9397706321457642,0.950846621463257,0.951288990092288
1962.0,0.9379945460406406,0.9385744461389602,0.9499369720856295,0.9503909839761674
1962.5,0.9367609706533279,0.9373575748599462,0.9490124801904473,0.949478440548737
1963.0,0.9355059053853211,0.9361196843978579,0.9480726837362053,0.9485509063059241
1963.5,0.934228998610295,0.934860437404775,0.9471171321305775,0.9476079394127199
1964.0,0.9329298946861875,0.9335794929801813,0.9461453909923309,0.9466491144934706
1964.5,0.9316082333007725,0.9322765060333404,0.9451570451213889,0.945674025624759
1965.0,0.930263649679488,0.9309511275053476,0.9441517000181503,0.9446822878751694
1965.5,0.9288957746546516,0.9296030044533651,0.9431289821106505,0.9436735375487799
1966.0,0.9275042347053384,0.9282317801060891,0.9420888726835052,0.9426477638257572
1966.5,0.9260886761474927,0.926837118029194,0.9410310253454017,0.9416046330905689
1967.0,0.9246487747579331,0.9254187118775319,0.9399551085595337,0.9405438247005166
1967.5,0.9231841624076892,0.9239762119558972,0.9388608036928624,0.9394650286609789
1968.0,0.921694451241797,0.9225092494281222,0.9377478018161627,0.9383679400232079
1968.5,0.9201792432138614,0.9210174458742477,0.936615912114676,0.9372523701539882
1969.0,0.9186381337481507,0.9195004169719697,0.9354649552540479,0.9361181461836788
1969.5,0.917068459952222,0.9179555092003633,0.9342946179864217,0.9349649596779455
1970.0,0.9154618128484087,0.9163743461782953,0.9331045891965851,0.9337925049728523
1970.5,0.913817642083367,0.9147564000239156,0.9318945567746427,0.9326004765592952
1971.0,0.9121353996374018,0.9131011460806506,0.9306642053148589,0.9313885667296944
1971.5,0.9104145293393262,0.9114080523071874,0.9294133822301385,0.9301566270304125
1972.0,0.9086544597636833,0.9096765722278755,0.9281420080171587,0.9289045928638784
1972.5,0.9068546048625572,0.9079061456514169,0.9268497289381282,0.9276321221417446
1973.0,0.905014364903972,0.9060961996877156,0.9255361930084838,0.9263388760841248
