time,ET Model,CE & ET Model
1928.0,3.620554183650108,3.620252243223339
1928.5,3.6247484671988115,3.624424087800915
1929.0,3.629321612776757,3.628974072265413
1929.5,3.6342704633373835,3.633899109169039
1930.0,3.639592786694283,3.6391970352899246
1930.5,3.645287193309494,3.6448665285596924
1931.0,3.651501772089484,3.651055706626801
1931.5,3.6580998925269954,3.657628038451368
1932.0,3.665083099019753,3.664585126439018
1932.5,3.6734371286701095,3.6729131095899077
1933.0,3.6827845277376863,3.6822336377295635
1933.5,3.6924457178790693,3.6918678031488885
1934.0,3.7024535727304775,3.7018484962000797
1934.5,3.712814151981361,3.7121818112905824
1935.0,3.723534078286528,3.7228744009100314
1935.5,3.734620350664908,3.733933289370052
1936.0,3.7460802684749015,3.7453657969994376
1936.5,3.7579212934223936,3.7571794023769547
1937.0,3.7701511145270166,3.7693818075013032
1937.5,3.7827775244769484,3.781980814423823
1938.0,3.795808368917883,3.794984274802375
1938.5,3.8092515039628063,3.8084000476756
1939.0,3.8231147612400957,3.8222359647692725
1939.5,3.83740592007455,3.8364998029255895
1940.0,3.8521326862249934,3.851199263060395
1940.5,3.8673026766111027,3.8663419550468334
1941.0,3.882918766515369,3.8819307463629533
1941.5,3.898976559732771,3.897961232075098
1942.0,3.9164583519813925,3.9154165436332615
1942.5,3.9344247283481,3.9333553753288397
1943.0,3.952826482025569,3.9517295416539135
1943.5,3.971669419357203,3.9705448137736625
1944.0,3.9909616138282122,3.9898092420406037
1944.5,4.010710558336993,4.009530294676568
1945.0,4.0309234421389135,4.029715134822082
1945.5,4.051607253640513,4.050370723453261
1946.0,4.072769401264288,4.071504440207047
1946.5,4.094417185757,4.093123556062055
1947.0,4.116557073526407,4.115234506948454
1947.5,4.139195401172228,4.137843598170017
1948.0,4.162338356261283,4.160956985404894
1948.5,4.185991965103391,4.184580662531548
1949.0,4.2101621045771855,4.208720473583635
1949.5,4.23485451425797,4.233382124938751
1950.0,4.260075026424376,4.258571415317138
1950.5,4.285829095721291,4.284293765579651
1951.0,4.312122047089446,4.310554466595311
1951.5,4.338959093858966,4.337358697340991
1952.0,4.366635704369914,4.364998301280128
1952.5,4.395711858005178,4.394036107651829
1953.0,4.426269272903703,4.424553842906653
1953.5,4.458378645021865,4.456622179801329
1954.0,4.492109914531943,4.490311033927717
1954.5,4.5275141419801335,4.525671462968316
1955.0,4.564600268483946,4.562712387442083
1955.5,4.603386664676898,4.601452157823725
1956.0,4.643884864515875,4.641902283710805
1956.5,4.686100528148608,4.684068395163438
1957.0,4.73003480353406,4.727951602716836
1957.5,4.775685821697937,4.77354999103855
1958.0,4.823050265527229,4.820860186196108
1958.5,4.872124942666273,4.86987892720234
1959.0,4.922908284557718,4.920604563922152
1959.5,4.97540169080433,4.973038400544547
1960.0,5.029610642481989,5.027185808276561
